company,batch,yc_team_size,cluster,screening_disposition,reason,yc_url,website,public_ireland_status
Foundation,S23,4,homebuilder aftercare,integrate into OpenHouse,Strongest founder fit; not a separate venture,https://www.ycombinator.com/companies/foundation-2,https://buildwithfoundation.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
zudo.work,W23,3,warranty automation,integrate into OpenHouse,Warranty claims and authorisation pattern,https://www.ycombinator.com/companies/zudowork,https://zudo.work/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
CentralComs,P26,2,property communication,integrate into OpenHouse,"Useful feature, weak standalone moat",https://www.ycombinator.com/companies/centralcoms,https://centralcoms.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Opusense AI,P25,2,field inspection,integrate into OpenHouse or renewables,Strong evidence-to-report workflow,https://www.ycombinator.com/companies/opusense-ai,https://www.opusense.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Permitify,W25,2,planning assurance,top new-venture analogue,Applicant-side cited plan review,https://www.ycombinator.com/companies/permitify,https://permitify.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
PermitPortal,F24,2,pre-construction,top new-venture analogue,Owner-side document and risk workflow,https://www.ycombinator.com/companies/permitportal,https://permitportalapp.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Spark,W24,5,renewable permitting,top energy analogue,Permitting and site-risk intelligence,https://www.ycombinator.com/companies/spark,https://www.sparkhq.ai,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Structured AI,F25,10,drawing review,secondary analogue,Technically heavier drawing review,https://www.ycombinator.com/companies/structured-ai,https://www.getstructured.ai/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
InspectMind AI,W24,2,drawing review,secondary analogue,Repeated-house-type QA potential,https://www.ycombinator.com/companies/inspectmind-ai,https://www.inspectmind.ai,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Nira Energy,W22,20,grid site selection,secondary energy analogue,Valuable but data and expert dependent,https://www.ycombinator.com/companies/nira-energy,https://www.niraenergy.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Plume,S24,4,renewable site discovery,secondary energy analogue,Potential managed risk brief,https://www.ycombinator.com/companies/plume,http://www.plumefinder.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Rimba,P25,4,heavy-industry reporting,module for renewable proposition,Not a separate generic copilot,https://www.ycombinator.com/companies/rimba,https://rimba.ai,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Assembly HOA,S24,12,OMC operator,"real need, poor lifestyle fit",Recurring operations and regulation,https://www.ycombinator.com/companies/assembly-hoa,https://assemblyhoa.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Aldara,S22,10,OMC operator,"real need, poor lifestyle fit",Full-service property operations,https://www.ycombinator.com/companies/aldara,https://aldara.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
inBuild,W23,12,construction finance,deprioritise,Integration and payment risk,https://www.ycombinator.com/companies/inbuild,https://www.inbuild.ai/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
DigiBuild,S21,15,materials procurement,deprioritise,Operational and margin complexity,https://www.ycombinator.com/companies/digibuild,https://digibuild.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Concord Materials,S21,7,materials procurement,deprioritise,Supplier and finance complexity,https://www.ycombinator.com/companies/concord-materials,https://concordmaterials.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
AquaShield,P26,3,leak prevention,deprioritise,Hardware and insurer distribution,https://www.ycombinator.com/companies/aquashield,https://aquashieldai.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Brickwise,F25,2,property management,deprioritise,Crowded and weak standalone moat,https://www.ycombinator.com/companies/brickwise,https://www.brickwiseai.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Propaya,S24,2,property management,deprioritise,Crowded property workflow category,https://www.ycombinator.com/companies/propaya,https://www.propaya.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Coperniq,W23,6,solar contractor OS,deprioritise,Irish obtainable market likely limited,https://www.ycombinator.com/companies/coperniq,https://coperniq.io,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
dili,S23,15,construction compliance,reject broad clone,Boxcore and GoContractor already visible,https://www.ycombinator.com/companies/dili,https://www.dili.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Provision,S22,15,construction contracts,reject broad clone,Legal reliability and enterprise sales,https://www.ycombinator.com/companies/provision,https://provision.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Verdant,S26,2,public permitting,reject for Sam,Public procurement and existing infrastructure,https://www.ycombinator.com/companies/verdant,https://www.verdantapp.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Clad,W23,7,infrastructure PM,reject broad clone,Incumbent-heavy horizontal category,https://www.ycombinator.com/companies/clad,https://withclad.com/,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
WeReno,W22,12,owners representative,reject for lifestyle fit,"Daytime, local and meeting heavy",https://www.ycombinator.com/companies/wereno,https://WeReno.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
Karmen,F24,2,construction scheduling,secondary analogue,"Useful feature, difficult standalone entry",https://www.ycombinator.com/companies/karmen,https://www.karmenai.com,No public Irish office/customer/dataset found in reviewed pages; not proof of unavailability
